2014/03/06 08:06:02,537 INFO  [org.jboss.as.security] (MSC service thread 1-2) JBAS013100: Current PicketBox version=4.0.6.final
2014/03/06 08:06:04,164 INFO  [org.jboss.as.naming] (MSC service thread 1-2) JBAS011802: Starting Naming Service
2014/03/06 08:06:04,188 INFO  [org.infinispan.configuration.cache.EvictionConfigurationBuilder] (ServerService Thread Pool -- 38) ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be pasivated.
2014/03/06 08:06:04,200 INFO  [org.infinispan.configuration.cache.EvictionConfigurationBuilder] (ServerService Thread Pool -- 38) ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be pasivated.
2014/03/06 08:06:04,326 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 34) JBAS010403: Deploying JDBC-compliant driver class org.h2.Driver (version 1.3)
2014/03/06 08:06:04,479 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 34) JBAS010404: Deploying non-JDBC-compliant driver class com.mysql.jdbc.Driver (version 5.1)
2014/03/06 08:06:05,114 INFO  [org.jboss.as.connector.subsystems.datasources] (ServerService Thread Pool -- 34) JBAS010404: Deploying non-JDBC-compliant driver class org.postgresql.Driver (version 9.2)
2014/03/06 08:06:05,405 INFO  [org.jboss.as.remoting] (MSC service thread 1-1) JBAS017100: Listening on /127.1.245.129:4447
2014/03/06 08:06:06,523 INFO  [org.jboss.jaxr] (MSC service thread 1-1) JBAS014000: Started JAXR subsystem, binding JAXR connection factory into JNDI as: java:jboss/jaxr/ConnectionFactory
2014/03/06 08:06:07,186 INFO  [org.apache.coyote.http11.Http11Protocol] (MSC service thread 1-1) Starting Coyote HTTP/1.1 on http--127.1.245.129-8080
2014/03/06 08:06:07,194 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-1) JBAS015400: Bound mail session [java:jboss/mail/Default]
2014/03/06 08:06:07,697 INFO  [org.jboss.ws.common.management] (MSC service thread 1-2) JBWS022052: Starting JBoss Web Services - Stack CXF Server 4.1.0.Final
